set_folder	set_name	rounded_r_nm	rounded_g_nm	rounded_b_nm	num_images	manifest_tsv
/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights	735_548_767	735	548	767	43	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/quicklook_manifest.tsv
/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/756_406_611_quicklooks_nme_flights	756_406_611	756	406	611	43	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/756_406_611_quicklooks_nme_flights/quicklook_manifest.tsv
/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/635_765_524_quicklooks_nme_flights	635_765_524	635	765	524	43	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/635_765_524_quicklooks_nme_flights/quicklook_manifest.tsv
/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/724_656_400_quicklooks_nme_flights	724_656_400	724	656	400	43	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/724_656_400_quicklooks_nme_flights/quicklook_manifest.tsv
/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/789_730_446_quicklooks_nme_flights	789_730_446	789	730	446	43	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/789_730_446_quicklooks_nme_flights/quicklook_manifest.tsv
