Site_Code,Tree_ID,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West
CL2,R-14,47 10 02.76,68 20 39.70
CL2,W-15,47 10 02.58,68 20 39.48
CL2,W-16,47 10 02.42,68 20 39.73
CL2,R-17,47 10 02.52,68 20 39.71
CL2,W-18,47 10 02.72,68 20 40.01
CL2,R-19,47 10 02.68,68 20 39.96
CL2,W-20,47 10 02.74,68 20 40.12
CL2,R-21,47 10 02.86,68 20 40.31
CL2,W-22,47 10 03.21,68 20 40.79
CL2,R-23,47 10 03.28,68 20 41.14
CL2,R-24,47 10 03.37,68 20 41.16
CL2,R-25,47 10 03.63,68 20 41.51
CL2,R-26,47 10 3.79,68 20 41.78
CL2,R-27,47 10 4.11,68 20 42.28
CL2,R-28,47 10 5.33,68 20 42.47
CL2,R-29,47 10 5.28,68 20 42.39
CL2,W-30,47 10 5.12,68 20 42.73
CL2,W-31,47 10 4.75,68 20 43.70
CL2,W-32,47 10 4.82,68 20 43.65
CL2,R-33,47 10 4.46,68 20 43.61
CL2,W-34,47 10 4.47,68 20 43.77
CL2,W-35,47 10 3.70,68 20 44.73
CL2,W-36,47 10 3.66,68 20 44.76
CL2,W-37,47 10 3.57,68 20 44.80
CL2,W-38,47 10 3.55,68 20 44.95
CL2,W-39,47 10 3.47,68 20 45.30
CL2,W-40,47 10 3.28,68 20 45.25
CL2,W-41,47 10 3.85,68 20 44.88
CL2,W-42,47 10 3.68,68 20 45.29
CL2,W-43,47 10 3.65,68 20 45.50
CL2,W-44,47 10 3.63,68 20 45.57
CL2,R-45,47 10 3.49,68 20 45.90
CL2,W-46,47 10 3.44,68 20 45.88
CL2,W-47,47 10 3.81,68 20 45.76
CL2,W-48,47 10 3.72,68 20 46.09
CL2,W-49,47 10 3.96,68 20 45.16
CL2,W-50,47 10 3.90,68 20 45.23
CL3,W-1,47 11 21.05,68 20 14.48
CL3,W-2,47 11 21.27,68 20 14.66
CL3,W-3,47 11 21.28,68 20 14.77
CL3,W-4,47 11 21.34,68 20 14.84
CL3,W-5,47 11 21.45,68 20 15.08
CL3,W-6,47 11 21.55,68 20 14.67
CL3,W-7,47 11 21.45,68 20 14.63
CL3,W-8,47 11 21.00,68 20 13.53
CL3,W-9,47 11 20.93,68 20 13.69
CL3,W-10,47 11 20.74,68 20 13.50
