Latitude,Longitude,Site Code_Tree ID
46 50 45.67,68 37 35.22,HB-1_Asp-48
46 50 45.78,68 37 35.26,HB-1_Asp-49
46 50 45.83,68 37 35.27,HB-1_Asp-50
46 50 45.86,68 37 35.42,HB-1_Asp-51
46 50 45.49,68 37 35.53,HB-1_Asp-52
46 50 45.76,68 37 35.75,HB-1_Asp-53
46 50 46.20,68 37 35.67,HB-1_Bal-56
46 50 45.72,68 37 34.04,HB-1_Bal-60
46 50 44.01,68 37 33.17,HB-1_Bal-4
46 50 44.08,68 37 33.09,HB-1_Bal-5
46 50 43.92,68 37 33.73,HB-1_Bal-6
46 50 44.35,68 37 34.31,HB-1_Bal-8
46 50 44.31,68 37 34.44,HB-1_Bal-9
46 50 44.74,68 37 34.40,HB-1_Bal-10
46 50 44.75,68 37 34.48,HB-1_Bal-11
46 50 44.88,68 37 33.23,HB-1_Bal-12
46 50 44.98,68 37 32.98,HB-1_Bal-13
46 50 45.15,68 37 32.79,HB-1_Bal-14
46 50 45.22,68 37 32.84,HB-1_Bal-15
46 50 45.16,68 37 32.97,HB-1_Bal-16
46 50 44.91,68 37 32.69,HB-1_Bal-17
46 50 45.10,68 37 33.02,HB-1_Bal-18
46 50 45.05,68 37 33.09,HB-1_Bal-19
46 50 44.58,68 37 36.55,HB-1_Bal-28
46 50 44.66,68 37 35.74,HB-1_Bal-29
46 50 44.65,68 37 35.93,HB-1_Bal-30
46 50 45.52,68 37 34.08,HB-1_Bal-43
46 50 45.55,68 37 34.35,HB-1_Bal-44
46 50 45.57,68 37 34.74,HB-1_Bal-46
46 50 45.55,68 37 34.86,HB-1_Bal-47
46 50 45.76,68 37 35.75,HB-1_Bal-55
46 50 46.42,68 37 35.37,HB-1_Bal-57
46 50 46.33,68 37 35.28,HB-1_Bal-58
46 50 46.56,68 37 35.57,HB-1_Asp-59
46 50 46.17,68 37 36.07,HB-1_Big-54
46 53 25.16,68 37 34.36,HB-2_Big-3
46 53 25.16,68 37 34.37,HB-2_Bal-5
,,HB-2_Bal-36
,,HB-2_Bal-37
,,HB-2_Bal-38
,,HB-2_Bal-39
,,HB-2_Bal-40
46 53 30.29,68 37 34.59,HB-2_Bal-41
,,HB-2_Bal-42
,,HB-2_Bal-43
,,HB-2_Bal-44
46 53 30.21,68 37 33.96,HB-2_Bal-46
,,HB-2_Bal-49
46 53 25.18,68 37 34.64,HB-2_Big-1
46 53 25.17,68 37 34.48,HB-2_Big-2
46 53 25.12,68 37 34.10,HB-2_Big-4
46 53 25.13,68 37 34.50,HB-2_Asp-6
46 53 25.53,68 37 33.73,HB-2_Big-7
46 53 25.58,68 37 33.29,HB-2_Big-8
46 53 25.62,68 37 32.65,HB-2_Big-9
46 53 25.53,68 37 32.68,HB-2_Big-10
